POST	api/v1/general/site-reviews		App\Http\Controllers\Api\General\SiteReviewController@store	api,auth:sanctum,throttle:authenticated
GET	api/v1/general/invoices/my-invoices		App\Http\Controllers\Api\InvoiceController@myInvoices	api,auth:sanctum,throttle:authenticated
GET	api/v1/general/invoices/verify/{uuid}		App\Http\Controllers\Api\InvoiceController@verify	api,auth:sanctum,throttle:authenticated,throttle:5,1
GET	api/v1/general/invoices/view/{uuid}	general.invoices.view	App\Http\Controllers\Api\InvoiceController@viewByUuidSigned	api,signed
GET	api/v1/general/invoices/download/{uuid}	general.invoices.download	App\Http\Controllers\Api\InvoiceController@downloadByUuidSigned	api,signed
GET	api/v1/general/digital/download/{entitlement}/{asset}	general.digital.download	App\Http\Controllers\Api\General\DigitalDownloadController@download	api,signed,throttle:30,1
GET	/		Closure	web
GET	test-pusher		Closure	web
GET|POST	api/v1/broadcasting/auth		\Illuminate\Broadcasting\BroadcastController@authenticate	api,auth:sanctum
POST	api/v1/register		Marvel\Http\Controllers\UserController@register	api,throttle:login
POST	api/v1/token		Marvel\Http\Controllers\UserController@token	api,throttle:login
POST	api/v1/admin-login		Marvel\Http\Controllers\UserController@adminToken	api,throttle:login
GET	api/v1/social/redirect		Marvel\Http\Controllers\SocialController@redirectFromQuery	api,throttle:login
POST	api/v1/social/exchange		Marvel\Http\Controllers\SocialController@exchange	api,throttle:login
GET	api/v1/social/{provider}		Marvel\Http\Controllers\SocialController@redirect	api,throttle:login
GET	api/v1/social/{provider}/callback		Marvel\Http\Controllers\SocialController@callback	api,throttle:login
POST	api/v1/logout		Marvel\Http\Controllers\UserController@logout	api,auth:sanctum
GET	api/v1/me		Marvel\Http\Controllers\UserController@me	api,auth:sanctum,throttle:admin
POST	api/v1/forget-password		Marvel\Http\Controllers\UserController@forgetPassword	api,throttle:sensitive
POST	api/v1/verify-forget-password-token		Marvel\Http\Controllers\UserController@verifyForgetPasswordToken	api,throttle:sensitive
POST	api/v1/reset-password		Marvel\Http\Controllers\UserController@resetPassword	api,throttle:sensitive
